t	y
0	1
0.03125	0.965625
0.0625	0.932461
0.09375	0.900522
0.125	0.869813
0.15625	0.840338
0.1875	0.812093
0.21875	0.785069
0.25	0.759257
0.28125	0.73464
0.3125	0.711203
0.34375	0.688926
0.375	0.667788
0.40625	0.647767
0.4375	0.628841
0.46875	0.610986
0.5	0.594179
0.53125	0.578396
0.5625	0.563615
0.59375	0.549813
0.625	0.536971
0.65625	0.525067
0.6875	0.514084
0.71875	0.504006
0.75	0.494817
0.78125	0.486506
0.8125	0.479062
0.84375	0.472477
0.875	0.466747
0.90625	0.46187
0.9375	0.457847
0.96875	0.454684
1	0.452389
1.03125	0.450975
1.0625	0.45046
1.09375	0.450867
1.125	0.452224
1.15625	0.454564
1.1875	0.45793
1.21875	0.462368
1.25	0.467936
1.28125	0.474699
1.3125	0.482734
1.34375	0.492127
1.375	0.502979
1.40625	0.515406
1.4375	0.52954
1.46875	0.545532
1.5	0.563556
1.53125	0.583809
1.5625	0.606517
1.59375	0.631942
1.625	0.66038
1.65625	0.692174
1.6875	0.727716
1.71875	0.76746
1.75	0.811927
1.78125	0.861721
1.8125	0.91754
1.84375	0.980196
1.875	1.05063
1.90625	1.12994
1.9375	1.21941
1.96875	1.32054
2	1.4351
