t	error
0	0
0.0625	0.00238602
0.125	0.00464802
0.1875	0.00675578
0.25	0.00869374
0.3125	0.0104586
0.375	0.0120568
0.4375	0.0135031
0.5	0.0148178
0.5625	0.0160261
0.625	0.0171571
0.6875	0.0182428
0.75	0.0193181
0.8125	0.0204215
0.875	0.0215951
0.9375	0.0228866
1	0.0243507
1.0625	0.0260522
1.125	0.0280692
1.1875	0.0304985
1.25	0.0334622
1.3125	0.0371175
1.375	0.0416697
1.4375	0.0473902
1.5	0.0546436
1.5625	0.0639238
1.625	0.0759083
1.6875	0.0915364
1.75	0.112124
1.8125	0.139533
1.875	0.176434
1.9375	0.226685
2	0.295943
