t	y
0	1
0.03125	0.966219
0.0625	0.933636
0.09375	0.902262
0.125	0.872102
0.15625	0.843156
0.1875	0.815419
0.21875	0.788884
0.25	0.763539
0.28125	0.739368
0.3125	0.716356
0.34375	0.694485
0.375	0.673733
0.40625	0.65408
0.4375	0.635504
0.46875	0.617984
0.5	0.601497
0.53125	0.586022
0.5625	0.571538
0.59375	0.558025
0.625	0.545463
0.65625	0.533836
0.6875	0.523126
0.71875	0.51332
0.75	0.504405
0.78125	0.496372
0.8125	0.489213
0.84375	0.482922
0.875	0.477499
0.90625	0.472944
0.9375	0.469263
0.96875	0.466464
1	0.464559
1.03125	0.463567
1.0625	0.463509
1.09375	0.464414
1.125	0.466317
1.15625	0.469256
1.1875	0.473282
1.21875	0.478451
1.25	0.484829
1.28125	0.492493
1.3125	0.501532
1.34375	0.512047
1.375	0.524157
1.40625	0.537996
1.4375	0.55372
1.46875	0.571505
1.5	0.591555
1.53125	0.614106
1.5625	0.639426
1.59375	0.667825
1.625	0.69966
1.65625	0.735342
1.6875	0.775348
1.71875	0.82023
1.75	0.870627
1.78125	0.927285
1.8125	0.991072
1.84375	1.063
1.875	1.14427
1.90625	1.23627
1.9375	1.34064
1.96875	1.45934
2	1.59467
