t	error
0	0
0.0625	1.18345e-08
0.125	2.16821e-08
0.1875	2.9446e-08
0.25	3.51669e-08
0.3125	3.90011e-08
0.375	4.11915e-08
0.4375	4.20356e-08
0.5	4.18542e-08
0.5625	4.09635e-08
0.625	3.96528e-08
0.6875	3.81688e-08
0.75	3.67056e-08
0.8125	3.54029e-08
0.875	3.43483e-08
0.9375	3.35852e-08
1	3.31234e-08
1.0625	3.2951e-08
1.125	3.30414e-08
1.1875	3.33499e-08
1.25	3.3783e-08
1.3125	3.41141e-08
1.375	3.37935e-08
1.4375	3.15575e-08
1.5	2.46608e-08
1.5625	7.40997e-09
1.625	3.15935e-08
1.6875	1.14585e-07
1.75	2.84142e-07
1.8125	6.20744e-07
1.875	1.27523e-06
1.9375	2.52895e-06
2	4.90553e-06
