t	y
0	1
0.03125	0.965625
0.0625	0.933067
0.09375	0.901708
0.125	0.871566
0.15625	0.842638
0.1875	0.814921
0.21875	0.788406
0.25	0.763081
0.28125	0.738932
0.3125	0.715941
0.34375	0.694089
0.375	0.673358
0.40625	0.653724
0.4375	0.635168
0.46875	0.617666
0.5	0.601197
0.53125	0.585738
0.5625	0.57127
0.59375	0.557771
0.625	0.545223
0.65625	0.533607
0.6875	0.522908
0.71875	0.513112
0.75	0.504206
0.78125	0.496179
0.8125	0.489025
0.84375	0.482739
0.875	0.477318
0.90625	0.472764
0.9375	0.469081
0.96875	0.466279
1	0.464369
1.03125	0.463369
1.0625	0.463301
1.09375	0.464193
1.125	0.466079
1.15625	0.468999
1.1875	0.473002
1.21875	0.478142
1.25	0.484487
1.28125	0.492111
1.3125	0.501104
1.34375	0.511565
1.375	0.523611
1.40625	0.537376
1.4375	0.553012
1.46875	0.570696
1.5	0.590627
1.53125	0.613039
1.5625	0.638194
1.59375	0.6664
1.625	0.698007
1.65625	0.733421
1.6875	0.773108
1.71875	0.817612
1.75	0.867561
1.78125	0.923683
1.8125	0.98683
1.84375	1.05799
1.875	1.13834
1.90625	1.22922
1.9375	1.33225
1.96875	1.44932
2	1.58267
