t	error
0	0
0.03125	0.000593937
0.0625	0.000569354
0.09375	0.000553785
0.125	0.000536435
0.15625	0.000517832
0.1875	0.000498282
0.21875	0.000478064
0.25	0.000457433
0.28125	0.000436622
0.3125	0.000415836
0.34375	0.000395259
0.375	0.000375055
0.40625	0.000355366
0.4375	0.000336318
0.46875	0.000318021
0.5	0.000300569
0.53125	0.000284047
0.5625	0.000268526
0.59375	0.000254071
0.625	0.000240741
0.65625	0.000228589
0.6875	0.000217667
0.71875	0.000208027
0.75	0.000199721
0.78125	0.000192807
0.8125	0.000187349
0.84375	0.000183419
0.875	0.000181102
0.90625	0.000180496
0.9375	0.000181718
0.96875	0.000184906
1	0.000190225
1.03125	0.000197869
1.0625	0.000208069
1.09375	0.000221102
1.125	0.000237292
1.15625	0.000257027
1.1875	0.000280766
1.21875	0.000309051
1.25	0.000342529
1.28125	0.000381965
1.3125	0.000428268
1.34375	0.000482521
1.375	0.000546011
1.40625	0.000620273
1.4375	0.000707142
1.46875	0.000808811
1.5	0.000927912
1.53125	0.0010676
1.5625	0.00123169
1.59375	0.00142476
1.625	0.00165235
1.65625	0.00192121
1.6875	0.0022395
1.71875	0.00261717
1.75	0.0030664
1.78125	0.00360207
1.8125	0.00424249
1.84375	0.00501019
1.875	0.00593299
1.90625	0.00704536
1.9375	0.00839012
1.96875	0.0100206
2	0.0120036
