t	x	error
0	1	0
0.25	0.97347	0.00392063
0.5	0.909751	0.0272439
0.75	0.826592	0.0790446
1	0.735712	0.160003
1.25	0.644593	0.265011
1.5	0.557789	0.385329
1.75	0.477848	0.510356
2	0.405982	0.62908
2.25	0.342529	0.731223
2.5	0.287283	0.808114
2.75	0.239719	0.853288
3	0.199141	0.862849
3.25	0.164786	0.835591
3.5	0.135885	0.772928
3.75	0.111708	0.678638
4	0.0915776	0.558472
4.25	0.0748873	0.419667
4.5	0.0611001	0.270383
4.75	0.0497481	0.119129
5	0.0404287	0.0257975
5.25	0.0327981	0.156828
5.5	0.0265652	0.267555
5.75	0.0214849	0.353071
6	0.0173523	0.410191
6.25	0.0139968	0.437554
6.5	0.0112767	0.435612
6.75	0.00907512	0.406498
7	0.00729577	0.353813
7.25	0.00585957	0.282319
7.5	0.00470176	0.197596
7.75	0.00376947	0.105658
8	0.00301957	0.0125695
8.25	0.00241699	0.075921
8.5	0.00193325	0.154702
8.75	0.00154525	0.219569
9	0.00123431	0.267419
9.25	0.000985324	0.296369
9.5	0.000786095	0.305796
9.75	0.000626794	0.296297
10	0.000499505	0.269574
10.25	0.00039786	0.228272
10.5	0.000316742	0.175751
10.75	0.000252044	0.11585
11	0.00020047	0.0526205
11.25	0.000159381	0.00993044
11.5	0.00012666	0.0680776
11.75	0.000100617	0.118586
12	7.98978e-05	0.158878
12.25	6.34217e-05	0.187144
12.5	5.03253e-05	0.202412
12.75	3.99196e-05	0.20455
13	3.1655e-05	0.194227
13.25	2.50934e-05	0.172819
13.5	1.98858e-05	0.142289
13.75	1.57543e-05	0.105032
14	1.24775e-05	0.0636991
14.25	9.87954e-06	0.0210303
14.5	7.82041e-06	0.0203218
14.75	6.18884e-06	0.0579444
15	4.89642e-06	0.0897958
