Radius	Temperature
0	375.633
0.000977517	375.633
0.00195503	375.633
0.00293255	375.631
0.00391007	375.629
0.00488759	375.626
0.0058651	375.623
0.00684262	375.618
0.00782014	375.613
0.00879765	375.608
0.00977517	375.601
0.0107527	375.594
0.0117302	375.586
0.0127077	375.578
0.0136852	375.568
0.0146628	375.558
0.0156403	375.547
0.0166178	375.536
0.0175953	375.524
0.0185728	375.511
0.0195503	375.497
0.0205279	375.483
0.0215054	375.468
0.0224829	375.452
0.0234604	375.436
0.0244379	375.418
0.0254154	375.401
0.026393	375.382
0.0273705	375.363
0.028348	375.342
0.0293255	375.322
0.030303	375.3
0.0312805	375.278
0.0322581	375.255
0.0332356	375.231
0.0342131	375.207
0.0351906	375.182
0.0361681	375.156
0.0371457	375.13
0.0381232	375.102
0.0391007	375.074
0.0400782	375.046
0.0410557	375.016
0.0420332	374.986
0.0430108	374.955
0.0439883	374.924
0.0449658	374.892
0.0459433	374.859
0.0469208	374.825
0.0478983	374.791
0.0488759	374.756
0.0498534	374.72
0.0508309	374.683
0.0518084	374.646
0.0527859	374.608
0.0537634	374.569
0.054741	374.53
0.0557185	374.49
0.056696	374.449
0.0576735	374.407
0.058651	374.365
0.0596285	374.322
0.0606061	374.278
0.0615836	374.234
0.0625611	374.189
0.0635386	374.143
0.0645161	374.096
0.0654936	374.049
0.0664712	374.001
0.0674487	373.952
0.0684262	373.903
0.0694037	373.853
0.0703812	373.802
0.0713587	373.75
0.0723363	373.698
0.0733138	373.645
0.0742913	373.591
0.0752688	373.536
0.0762463	373.481
0.0772239	373.425
0.0782014	373.369
0.0791789	373.311
0.0801564	373.253
0.0811339	373.195
0.0821114	373.135
0.083089	373.075
0.0840665	373.014
0.085044	372.952
0.0860215	372.89
0.086999	372.827
0.0879765	372.763
0.0889541	372.699
0.0899316	372.634
0.0909091	372.568
0.0918866	372.501
0.0928641	372.434
0.0938416	372.365
0.0948192	372.297
0.0957967	372.227
0.0967742	372.157
0.0977517	372.086
0.0987292	372.014
0.0997067	371.942
0.100684	371.869
0.101662	371.795
0.102639	371.72
0.103617	371.645
0.104594	371.569
0.105572	371.493
0.106549	371.415
0.107527	371.337
0.108504	371.258
0.109482	371.179
0.110459	371.098
0.111437	371.017
0.112414	370.936
0.113392	370.853
0.11437	370.77
0.115347	370.686
0.116325	370.602
0.117302	370.517
0.11828	370.431
0.119257	370.344
0.120235	370.256
0.121212	370.168
0.12219	370.079
0.123167	369.99
0.124145	369.899
0.125122	369.808
0.1261	369.717
0.127077	369.624
0.128055	369.531
0.129032	369.437
0.13001	369.343
0.130987	369.247
0.131965	369.151
0.132942	369.055
0.13392	368.957
0.134897	368.859
0.135875	368.76
0.136852	368.66
0.13783	368.56
0.138807	368.459
0.139785	368.357
0.140762	368.255
0.14174	368.152
0.142717	368.048
0.143695	367.943
0.144673	367.838
0.14565	367.732
0.146628	367.625
0.147605	367.517
0.148583	367.409
0.14956	367.3
0.150538	367.191
0.151515	367.08
0.152493	366.969
0.15347	366.857
0.154448	366.745
0.155425	366.632
0.156403	366.518
0.15738	366.403
0.158358	366.288
0.159335	366.171
0.160313	366.055
0.16129	365.937
0.162268	365.819
0.163245	365.7
0.164223	365.58
0.1652	365.46
0.166178	365.339
0.167155	365.217
0.168133	365.094
0.16911	364.971
0.170088	364.847
0.171065	364.722
0.172043	364.597
0.173021	364.471
0.173998	364.344
0.174976	364.216
0.175953	364.088
0.176931	363.959
0.177908	363.829
0.178886	363.699
0.179863	363.568
0.180841	363.436
0.181818	363.303
0.182796	363.17
0.183773	363.036
0.184751	362.901
0.185728	362.766
0.186706	362.63
0.187683	362.493
0.188661	362.355
0.189638	362.217
0.190616	362.078
0.191593	361.938
0.192571	361.798
0.193548	361.657
0.194526	361.515
0.195503	361.372
0.196481	361.229
0.197458	361.085
0.198436	360.94
0.199413	360.794
0.200391	360.648
0.201369	360.501
0.202346	360.354
0.203324	360.205
0.204301	360.056
0.205279	359.906
0.206256	359.756
0.207234	359.605
0.208211	359.453
0.209189	359.3
0.210166	359.147
0.211144	358.993
0.212121	358.838
0.213099	358.682
0.214076	358.526
0.215054	358.369
0.216031	358.212
0.217009	358.053
0.217986	357.894
0.218964	357.734
0.219941	357.574
0.220919	357.412
0.221896	357.251
0.222874	357.088
0.223851	356.924
0.224829	356.76
0.225806	356.595
0.226784	356.43
0.227761	356.264
0.228739	356.097
0.229717	355.929
0.230694	355.761
0.231672	355.591
0.232649	355.422
0.233627	355.251
0.234604	355.08
0.235582	354.908
0.236559	354.735
0.237537	354.562
0.238514	354.387
0.239492	354.213
0.240469	354.037
0.241447	353.861
0.242424	353.684
0.243402	353.506
0.244379	353.328
0.245357	353.148
0.246334	352.969
0.247312	352.788
0.248289	352.607
0.249267	352.425
0.250244	352.242
0.251222	352.058
0.252199	351.874
0.253177	351.689
0.254154	351.504
0.255132	351.317
0.256109	351.13
0.257087	350.943
0.258065	350.754
0.259042	350.565
0.26002	350.375
0.260997	350.184
0.261975	349.993
0.262952	349.801
0.26393	349.608
0.264907	349.415
0.265885	349.22
0.266862	349.025
0.26784	348.83
0.268817	348.633
0.269795	348.436
0.270772	348.239
0.27175	348.04
0.272727	347.841
0.273705	347.641
0.274682	347.44
0.27566	347.239
0.276637	347.037
0.277615	346.834
0.278592	346.63
0.27957	346.426
0.280547	346.221
0.281525	346.016
0.282502	345.809
0.28348	345.602
0.284457	345.394
0.285435	345.186
0.286413	344.976
0.28739	344.766
0.288368	344.556
0.289345	344.344
0.290323	344.132
0.2913	343.919
0.292278	343.706
0.293255	343.491
0.294233	343.276
0.29521	343.061
0.296188	342.844
0.297165	342.627
0.298143	342.409
0.29912	342.191
0.300098	341.971
0.301075	341.751
0.302053	341.531
0.30303	341.309
0.304008	341.087
0.304985	340.864
0.305963	340.641
0.30694	340.416
0.307918	340.191
0.308895	339.966
0.309873	339.739
0.31085	339.512
0.311828	339.284
0.312805	339.055
0.313783	338.826
0.314761	338.596
0.315738	338.365
0.316716	338.134
0.317693	337.902
0.318671	337.669
0.319648	337.435
0.320626	337.201
0.321603	336.966
0.322581	336.73
0.323558	336.493
0.324536	336.256
0.325513	336.018
0.326491	335.78
0.327468	335.54
0.328446	335.3
0.329423	335.059
0.330401	334.818
0.331378	334.576
0.332356	334.333
0.333333	334.089
0.334311	333.845
0.335288	333.599
0.336266	333.354
0.337243	333.107
0.338221	332.86
0.339198	332.612
0.340176	332.363
0.341153	332.114
0.342131	331.864
0.343109	331.613
0.344086	331.361
0.345064	331.109
0.346041	330.856
0.347019	330.602
0.347996	330.348
0.348974	330.093
0.349951	329.837
0.350929	329.58
0.351906	329.323
0.352884	329.065
0.353861	328.806
0.354839	328.547
0.355816	328.287
0.356794	328.026
0.357771	327.764
0.358749	327.502
0.359726	327.239
0.360704	326.975
0.361681	326.711
0.362659	326.446
0.363636	326.18
0.364614	325.913
0.365591	325.646
0.366569	325.378
0.367546	325.109
0.368524	324.84
0.369501	324.57
0.370479	324.299
0.371457	324.027
0.372434	323.755
0.373412	323.482
0.374389	323.208
0.375367	322.934
0.376344	322.658
0.377322	322.382
0.378299	322.106
0.379277	321.828
0.380254	321.55
0.381232	321.272
0.382209	320.992
0.383187	320.712
0.384164	320.431
0.385142	320.149
0.386119	319.867
0.387097	319.584
0.388074	319.3
0.389052	319.016
0.390029	318.73
0.391007	318.444
0.391984	318.158
0.392962	317.87
0.393939	317.582
0.394917	317.293
0.395894	317.004
0.396872	316.714
0.397849	316.423
0.398827	316.131
0.399804	315.839
0.400782	315.546
0.40176	315.252
0.402737	314.957
0.403715	314.662
0.404692	314.366
0.40567	314.069
0.406647	313.772
0.407625	313.474
0.408602	313.175
0.40958	312.875
0.410557	312.575
0.411535	312.274
0.412512	311.972
0.41349	311.67
0.414467	311.367
0.415445	311.063
0.416422	310.758
0.4174	310.453
0.418377	310.147
0.419355	309.84
0.420332	309.533
0.42131	309.225
0.422287	308.916
0.423265	308.606
0.424242	308.296
0.42522	307.985
0.426197	307.673
0.427175	307.361
0.428152	307.047
0.42913	306.734
0.430108	306.419
0.431085	306.104
0.432063	305.788
0.43304	305.471
0.434018	305.153
0.434995	304.835
0.435973	304.516
0.43695	304.197
0.437928	303.876
0.438905	303.555
0.439883	303.233
0.44086	302.911
0.441838	302.588
0.442815	302.264
0.443793	301.939
0.44477	301.614
0.445748	301.288
0.446725	300.961
0.447703	300.633
0.44868	300.305
0.449658	299.976
0.450635	299.647
0.451613	299.316
0.45259	298.985
0.453568	298.653
0.454545	298.321
0.455523	297.987
0.4565	297.654
0.457478	297.319
0.458456	296.983
0.459433	296.647
0.460411	296.31
0.461388	295.973
0.462366	295.635
0.463343	295.296
0.464321	294.956
0.465298	294.616
0.466276	294.274
0.467253	293.933
0.468231	293.59
0.469208	293.247
0.470186	292.903
0.471163	292.558
0.472141	292.213
0.473118	291.867
0.474096	291.52
0.475073	291.172
0.476051	290.824
0.477028	290.475
0.478006	290.125
0.478983	289.775
0.479961	289.423
0.480938	289.072
0.481916	288.719
0.482893	288.366
0.483871	288.012
0.484848	287.657
0.485826	287.301
0.486804	286.945
0.487781	286.588
0.488759	286.231
0.489736	285.872
0.490714	285.513
0.491691	285.154
0.492669	284.793
0.493646	284.432
0.494624	284.07
0.495601	283.707
0.496579	283.344
0.497556	282.98
0.498534	282.615
0.499511	282.25
0.500489	281.884
0.501466	281.517
0.502444	281.149
0.503421	280.781
0.504399	280.412
0.505376	280.042
0.506354	279.671
0.507331	279.3
0.508309	278.928
0.509286	278.555
0.510264	278.182
0.511241	277.808
0.512219	277.433
0.513196	277.058
0.514174	276.681
0.515152	276.304
0.516129	275.927
0.517107	275.548
0.518084	275.169
0.519062	274.789
0.520039	274.409
0.521017	274.028
0.521994	273.646
0.522972	273.263
0.523949	272.879
0.524927	272.495
0.525904	272.11
0.526882	271.725
0.527859	271.339
0.528837	270.952
0.529814	270.564
0.530792	270.176
0.531769	269.786
0.532747	269.397
0.533724	269.006
0.534702	268.615
0.535679	268.223
0.536657	267.83
0.537634	267.436
0.538612	267.042
0.539589	266.647
0.540567	266.252
0.541544	265.856
0.542522	265.459
0.5435	265.061
0.544477	264.662
0.545455	264.263
0.546432	263.863
0.54741	263.463
0.548387	263.061
0.549365	262.659
0.550342	262.256
0.55132	261.853
0.552297	261.449
0.553275	261.044
0.554252	260.638
0.55523	260.232
0.556207	259.825
0.557185	259.417
0.558162	259.009
0.55914	258.599
0.560117	258.189
0.561095	257.779
0.562072	257.367
0.56305	256.955
0.564027	256.543
0.565005	256.129
0.565982	255.715
0.56696	255.3
0.567937	254.884
0.568915	254.468
0.569892	254.051
0.57087	253.633
0.571848	253.214
0.572825	252.795
0.573803	252.375
0.57478	251.955
0.575758	251.533
0.576735	251.111
0.577713	250.688
0.57869	250.265
0.579668	249.84
0.580645	249.415
0.581623	248.99
0.5826	248.563
0.583578	248.136
0.584555	247.708
0.585533	247.28
0.58651	246.851
0.587488	246.421
0.588465	245.99
0.589443	245.558
0.59042	245.126
0.591398	244.693
0.592375	244.26
0.593353	243.826
0.59433	243.391
0.595308	242.955
0.596285	242.518
0.597263	242.081
0.59824	241.643
0.599218	241.205
0.600196	240.765
0.601173	240.325
0.602151	239.885
0.603128	239.443
0.604106	239.001
0.605083	238.558
0.606061	238.115
0.607038	237.67
0.608016	237.225
0.608993	236.779
0.609971	236.333
0.610948	235.886
0.611926	235.438
0.612903	234.989
0.613881	234.54
0.614858	234.09
0.615836	233.639
0.616813	233.188
0.617791	232.735
0.618768	232.282
0.619746	231.829
0.620723	231.374
0.621701	230.919
0.622678	230.464
0.623656	230.007
0.624633	229.55
0.625611	229.092
0.626588	228.633
0.627566	228.174
0.628543	227.714
0.629521	227.253
0.630499	226.791
0.631476	226.329
0.632454	225.866
0.633431	225.403
0.634409	224.938
0.635386	224.473
0.636364	224.007
0.637341	223.541
0.638319	223.073
0.639296	222.605
0.640274	222.137
0.641251	221.667
0.642229	221.197
0.643206	220.726
0.644184	220.255
0.645161	219.783
0.646139	219.31
0.647116	218.836
0.648094	218.361
0.649071	217.886
0.650049	217.41
0.651026	216.934
0.652004	216.457
0.652981	215.979
0.653959	215.5
0.654936	215.02
0.655914	214.54
0.656891	214.059
0.657869	213.578
0.658847	213.095
0.659824	212.612
0.660802	212.129
0.661779	211.644
0.662757	211.159
0.663734	210.673
0.664712	210.187
0.665689	209.699
0.666667	209.211
0.667644	208.722
0.668622	208.233
0.669599	207.743
0.670577	207.252
0.671554	206.76
0.672532	206.268
0.673509	205.775
0.674487	205.281
0.675464	204.787
0.676442	204.291
0.677419	203.795
0.678397	203.299
0.679374	202.801
0.680352	202.303
0.681329	201.805
0.682307	201.305
0.683284	200.805
0.684262	200.304
0.685239	199.802
0.686217	199.3
0.687195	198.797
0.688172	198.293
0.68915	197.788
0.690127	197.283
0.691105	196.777
0.692082	196.271
0.69306	195.763
0.694037	195.255
0.695015	194.746
0.695992	194.237
0.69697	193.726
0.697947	193.215
0.698925	192.704
0.699902	192.191
0.70088	191.678
0.701857	191.164
0.702835	190.65
0.703812	190.135
0.70479	189.619
0.705767	189.102
0.706745	188.584
0.707722	188.066
0.7087	187.547
0.709677	187.028
0.710655	186.508
0.711632	185.987
0.71261	185.465
0.713587	184.942
0.714565	184.419
0.715543	183.895
0.71652	183.371
0.717498	182.845
0.718475	182.319
0.719453	181.793
0.72043	181.265
0.721408	180.737
0.722385	180.208
0.723363	179.679
